time,stamp,left_encoder,right_encoder
1.53139179400648E+018,1.53139179401936E+018,1566,777
1.53139179405517E+018,1.53139179405136E+018,1566,778
1.53139179410162E+018,1.53139179408436E+018,1566,778
1.53139179412221E+018,1.53139179412736E+018,1566,778
1.53139179417544E+018,1.53139179416236E+018,1566,777
1.53139179419594E+018,1.53139179421336E+018,1566,778
1.53139179425706E+018,1.53139179424636E+018,1566,778
1.53139179430069E+018,1.53139179431336E+018,1566,778
1.53139179435004E+018,1.53139179434636E+018,1566,778
1.53139179442395E+018,1.53139179440736E+018,1566,778
1.53139179448027E+018,1.53139179444036E+018,1566,777
1.53139179450548E+018,1.53139179451336E+018,1566,777
1.53139179455285E+018,1.53139179454636E+018,1566,778
1.53139179457753E+018,1.53139179459536E+018,1566,778
1.53139179462325E+018,1.53139179462836E+018,1566,777
1.53139179467073E+018,1.53139179466036E+018,1566,778
1.53139179469088E+018,1.53139179470736E+018,1566,778
1.53139179475447E+018,1.53139179474236E+018,1566,778
1.53139179479572E+018,1.53139179477536E+018,1566,777
1.53139179481653E+018,1.53139179481936E+018,1566,778
1.53139179487104E+018,1.53139179485436E+018,1566,778
1.5313917948916E+018,1.53139179490036E+018,1566,778
1.53139179497589E+018,1.53139179493536E+018,1566,777
1.5313917950203E+018,1.53139179503336E+018,1566,778
1.53139179506847E+018,1.53139179506636E+018,1566,778
1.53139179511712E+018,1.53139179512536E+018,1566,778
1.53139179517109E+018,1.53139179516036E+018,1566,777
1.53139179519112E+018,1.53139179520936E+018,1566,777
1.53139179524353E+018,1.53139179524236E+018,1566,778
1.53139179530162E+018,1.53139179530036E+018,1566,778
1.53139179535582E+018,1.53139179533536E+018,1566,778
1.53139179538947E+018,1.53139179539836E+018,1566,778
1.53139179546749E+018,1.53139179543336E+018,1567,778
1.53139179548552E+018,1.53139179547736E+018,1590,803
1.53139179554463E+018,1.53139179551036E+018,1625,839
1.53139179557097E+018,1.53139179558336E+018,1733,948
1.53139179562655E+018,1.53139179564984E+018,1796,1009
1.53139179565277E+018,1.53139179569684E+018,1885,1094
1.53139179570402E+018,1.53139179572984E+018,1948,1160
1.53139179573016E+018,1.53139179577884E+018,2046,1256
1.53139179577818E+018,1.53139179581184E+018,2112,1322
1.53139179583406E+018,1.53139179584384E+018,2174,1384
1.53139179585542E+018,1.53139179589584E+018,2278,1486
1.53139179591249E+018,1.53139179593084E+018,2350,1558
1.53139179593928E+018,1.53139179598684E+018,2460,1664
1.53139179602991E+018,1.53139179602184E+018,2531,1737
1.53139179606926E+018,1.53139179605484E+018,2597,1802
1.53139179609059E+018,1.53139179611984E+018,2726,1930
1.53139179614106E+018,1.53139179615484E+018,2797,2001
1.53139179616678E+018,1.53139179621584E+018,2915,2122
1.53139179622277E+018,1.53139179625084E+018,2986,2194
1.53139179626512E+018,1.53139179628384E+018,3054,2259
1.5313917962858E+018,1.53139179632184E+018,3129,2334
1.53139179633993E+018,1.53139179635684E+018,3196,2400
1.53139179635471E+018,1.53139179640384E+018,3289,2494
1.53139179641749E+018,1.53139179643884E+018,3360,2563
1.53139179646324E+018,1.53139179647184E+018,3423,2628
1.53139179648628E+018,1.53139179651484E+018,3508,2714
1.53139179655389E+018,1.53139179654884E+018,3574,2780
1.53139179657856E+018,1.53139179660884E+018,3694,2897
1.53139179665065E+018,1.53139179664384E+018,3764,2967
1.53139179667813E+018,1.53139179672484E+018,3922,3127
1.53139179673861E+018,1.53139179675984E+018,3992,3196
1.53139179678386E+018,1.53139179679284E+018,4057,3262
1.53139179680498E+018,1.53139179683384E+018,4136,3342
1.53139179685722E+018,1.53139179686884E+018,4204,3410
1.53139179689889E+018,1.53139179694384E+018,4351,3559
1.53139179696806E+018,1.53139179697884E+018,4423,3630
1.53139179701907E+018,1.53139179701184E+018,4485,3693
1.53139179705029E+018,1.53139179706584E+018,4594,3801
1.53139179711894E+018,1.53139179709984E+018,4661,3869
1.53139179714899E+018,1.53139179719184E+018,4841,4051
1.53139179721583E+018,1.53139179722684E+018,4914,4123
1.5313917972645E+018,1.53139179725984E+018,4976,4185
1.53139179728839E+018,1.53139179731684E+018,5089,4300
