%time,field.data
1538332970423597786,331
1538332970535719544,333
1538332970640025423,333
1538332970752014687,335
1538332970869283729,332
1538332970964104431,334
1538332971074120115,370
1538332971168033191,400
1538332971272688794,332
1538332971388358536,335
1538332971463725487,346
1538332971584519160,332
1538332971700051898,334
1538332971791841917,332
1538332971908514730,328
1538332972032291316,331
1538332972143840116,334
1538332972236063819,332
1538332972340062663,333
1538332972457396039,332
1538332972585196077,333
1538332972683866625,334
1538332972770082378,333
1538332972874339797,332
1538332972980132596,332
1538332973075939001,330
1538332973192430835,333
1538332973275866763,331
1538332973396105376,403
1538332973496092160,332
1538332973613743211,333
1538332973711037384,332
1538332973803932901,333
1538332973908420759,334
1538332974003874781,328
1538332974116412147,335
1538332974228133032,442
1538332974320122943,332
1538332974451133158,333
1538332974547834962,342
1538332974665428607,330
1538332974761046209,347
1538332974860210912,339
1538332974945639584,331
1538332975059929158,333
1538332975165818238,419
1538332975276139007,335
1538332975376206003,330
1538332975485137503,332
1538332975577034496,333
1538332975684128033,384
1538332975781315538,331
1538332975896184798,331
1538332975996505476,331
1538332976104264501,329
1538332976204283674,338
1538332976324166183,331
1538332976420047262,333
1538332976516041244,333
1538332976624326859,333
1538332976760325204,330
1538332976876240265,333
1538332976982890456,338
1538332977074339138,435
1538332977178512200,331
1538332977292003494,334
1538332977384481716,332
1538332977500505346,337
1538332977604228498,331
1538332977696697654,332
1538332977800255286,332
1538332977924882105,333
1538332978020048486,335
1538332978140299948,327
1538332978260223914,333
1538332978354533181,333
1538332978456730827,333
1538332978561707503,329
1538332978664256385,330
1538332978764265440,331
1538332978865409971,333
1538332978976342036,334
1538332979064900075,333
1538332979172415560,332
1538332979288307867,333
1538332979396224564,332
1538332979508510093,331
1538332979619358396,333
1538332979705502443,335
1538332979816217831,333
1538332979938394525,332
1538332980057655916,332
1538332980157659722,333
1538332980256340880,362
1538332980361727675,335
1538332980464813042,453
1538332980566623412,383
1538332980672357482,330
1538332980809597134,335
1538332980916185096,395
1538332981014729794,331
1538332981112248300,329
1538332981224408966,340
1538332981328380002,436
1538332981428205357,334
1538332981536122328,330
1538332981623029469,331
1538332981724427087,331
1538332981828340952,336
1538332981937889769,422
1538332982037990470,329
1538332982148517603,333
1538332982243557649,334
1538332982376340630,331
1538332982492645173,331
1538332982602613128,334
1538332982692452455,332
1538332982799762324,331
1538332982924898121,330
1538332983044254847,334
1538332983140552928,332
