time,stamp,magnetic_x,magnetic_y,magnetic_z,magnetic_field_variance_x,magnetic_field_variance_y,magnetic_field_variance_z
1.5313917738569E+018,1.53139177382295E+018,0.000012,0.0001938,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.53139177387982E+018,1.53139177382895E+018,0.0000156,0.0001932,0.0003492,0.0048000002,0.0048000002,0.0048000002
1.53139177388835E+018,1.53139177383395E+018,0.0000156,0.0001932,0.0003492,0.0048000002,0.0048000002,0.0048000002
1.53139177389448E+018,1.53139177383895E+018,0.0000072,0.0001932,0.0003576,0.0048000002,0.0048000002,0.0048000002
1.53139177390069E+018,1.53139177384495E+018,0.0000072,0.0001932,0.0003576,0.0048000002,0.0048000002,0.0048000002
1.5313917739067E+018,1.53139177384995E+018,0.0000132,0.000198,0.0003552,0.0048000002,0.0048000002,0.0048000002
1.53139177391304E+018,1.53139177385595E+018,0.0000108,0.0001896,0.0003522,0.0048000002,0.0048000002,0.0048000002
1.53139177393896E+018,1.53139177386395E+018,0.0000108,0.0001896,0.0003522,0.0048000002,0.0048000002,0.0048000002
1.53139177395668E+018,1.53139177386695E+018,0.0000144,0.0001962,0.0003492,0.0048000002,0.0048000002,0.0048000002
1.53139177396442E+018,1.53139177387195E+018,0.0000144,0.0001962,0.0003492,0.0048000002,0.0048000002,0.0048000002
1.53139177397447E+018,1.53139177387795E+018,0.0000162,0.0001998,0.0003468,0.0048000002,0.0048000002,0.0048000002
1.53139177398127E+018,1.53139177388295E+018,0.0000162,0.0001998,0.0003468,0.0048000002,0.0048000002,0.0048000002
1.53139177398754E+018,1.53139177393795E+018,0.0000126,0.000192,0.0003432,0.0048000002,0.0048000002,0.0048000002
1.53139177401192E+018,1.53139177394395E+018,0.0000144,0.0001962,0.0003492,0.0048000002,0.0048000002,0.0048000002
1.53139177402254E+018,1.53139177394695E+018,0.0000144,0.0001932,0.0003516,0.0048000002,0.0048000002,0.0048000002
1.53139177402959E+018,1.53139177395095E+018,0.0000144,0.0001932,0.0003516,0.0048000002,0.0048000002,0.0048000002
1.53139177403604E+018,1.53139177395595E+018,0.0000144,0.0001932,0.0003516,0.0048000002,0.0048000002,0.0048000002
1.53139177404394E+018,1.53139177396095E+018,0.0000168,0.000189,0.0003612,0.0048000002,0.0048000002,0.0048000002
1.53139177405211E+018,1.53139177396695E+018,0.0000168,0.000189,0.0003612,0.0048000002,0.0048000002,0.0048000002
1.53139177405989E+018,1.53139177397195E+018,0.0000168,0.0001848,0.0003612,0.0048000002,0.0048000002,0.0048000002
1.53139177410402E+018,1.53139177398095E+018,0.000018,0.0001866,0.0003552,0.0048000002,0.0048000002,0.0048000002
1.53139177414008E+018,1.53139177405295E+018,0.000015,0.0001926,0.000351,0.0048000002,0.0048000002,0.0048000002
1.5313917741522E+018,1.53139177405595E+018,0.0000186,0.0001962,0.0003516,0.0048000002,0.0048000002,0.0048000002
1.53139177416035E+018,1.53139177406095E+018,0.0000186,0.0001962,0.0003516,0.0048000002,0.0048000002,0.0048000002
1.53139177416823E+018,1.53139177406595E+018,0.0000126,0.0001944,0.0003546,0.0048000002,0.0048000002,0.0048000002
1.53139177417629E+018,1.53139177407195E+018,0.0000126,0.0001944,0.0003546,0.0048000002,0.0048000002,0.0048000002
1.53139177418791E+018,1.53139177407695E+018,0.0000186,0.0001974,0.0003474,0.0048000002,0.0048000002,0.0048000002
1.53139177421928E+018,1.53139177408595E+018,0.0000186,0.0001974,0.0003474,0.0048000002,0.0048000002,0.0048000002
1.5313917742269E+018,1.53139177408895E+018,0.0000186,0.0001902,0.0003504,0.0048000002,0.0048000002,0.0048000002
1.53139177423346E+018,1.53139177409395E+018,0.0000186,0.0001902,0.0003504,0.0048000002,0.0048000002,0.0048000002
1.53139177423615E+018,1.53139177419995E+018,0.0000132,0.0001908,0.0003552,0.0048000002,0.0048000002,0.0048000002
1.53139177425928E+018,1.53139177421195E+018,0.0000108,0.0001938,0.0003498,0.0048000002,0.0048000002,0.0048000002
1.53139177426769E+018,1.53139177421495E+018,0.0000108,0.0001938,0.0003498,0.0048000002,0.0048000002,0.0048000002
1.5313917742737E+018,1.53139177421995E+018,0.000021,0.0001824,0.0003522,0.0048000002,0.0048000002,0.0048000002
1.53139177427984E+018,1.53139177422495E+018,0.000021,0.0001824,0.0003522,0.0048000002,0.0048000002,0.0048000002
1.53139177428598E+018,1.53139177422995E+018,0.0000144,0.000192,0.0003558,0.0048000002,0.0048000002,0.0048000002
1.53139177429167E+018,1.53139177423595E+018,0.0000186,0.0001944,0.000345,0.0048000002,0.0048000002,0.0048000002
1.53139177429768E+018,1.53139177424095E+018,0.0000186,0.0001944,0.000345,0.0048000002,0.0048000002,0.0048000002
1.53139177432254E+018,1.53139177424995E+018,0.000018,0.0001908,0.000348,0.0048000002,0.0048000002,0.0048000002
1.53139177432924E+018,1.53139177425495E+018,0.0000162,0.0001908,0.000351,0.0048000002,0.0048000002,0.0048000002
1.5313917743358E+018,1.53139177426095E+018,0.0000162,0.0001908,0.000351,0.0048000002,0.0048000002,0.0048000002
1.53139177434248E+018,1.53139177426595E+018,0.0000132,0.0001938,0.0003522,0.0048000002,0.0048000002,0.0048000002
1.53139177434896E+018,1.53139177431495E+018,0.0000132,0.0001938,0.0003522,0.0048000002,0.0048000002,0.0048000002
1.53139177437174E+018,1.53139177432095E+018,0.0000132,0.0001938,0.0003522,0.0048000002,0.0048000002,0.0048000002
1.53139177438061E+018,1.53139177432395E+018,0.0000132,0.0001938,0.0003522,0.0048000002,0.0048000002,0.0048000002
1.53139177438671E+018,1.53139177432895E+018,0.0000162,0.0001908,0.0003498,0.0048000002,0.0048000002,0.0048000002
1.53139177439292E+018,1.53139177433395E+018,0.0000162,0.0001908,0.0003498,0.0048000002,0.0048000002,0.0048000002
1.531391774399E+018,1.53139177433995E+018,0.0000084,0.0001932,0.0003516,0.0048000002,0.0048000002,0.0048000002
1.53139177440506E+018,1.53139177434495E+018,0.000015,0.0001968,0.0003468,0.0048000002,0.0048000002,0.0048000002
1.53139177444105E+018,1.53139177435395E+018,0.000015,0.0001968,0.0003468,0.0048000002,0.0048000002,0.0048000002
1.53139177444747E+018,1.53139177435695E+018,0.0000216,0.000189,0.0003492,0.0048000002,0.0048000002,0.0048000002
1.53139177445389E+018,1.53139177436195E+018,0.0000216,0.000189,0.0003492,0.0048000002,0.0048000002,0.0048000002
1.53139177446019E+018,1.53139177436695E+018,0.000021,0.0001854,0.000348,0.0048000002,0.0048000002,0.0048000002
1.53139177446667E+018,1.53139177437295E+018,0.000021,0.0001854,0.000348,0.0048000002,0.0048000002,0.0048000002
1.53139177447323E+018,1.53139177437795E+018,0.0000186,0.000189,0.0003534,0.0048000002,0.0048000002,0.0048000002
1.53139177449945E+018,1.53139177442895E+018,0.0000186,0.000189,0.0003534,0.0048000002,0.0048000002,0.0048000002
1.53139177452608E+018,1.53139177443695E+018,0.0000216,0.0001962,0.0003492,0.0048000002,0.0048000002,0.0048000002
1.53139177453618E+018,1.53139177443995E+018,0.0000096,0.000189,0.0003672,0.0048000002,0.0048000002,0.0048000002
1.53139177454434E+018,1.53139177444495E+018,0.0000096,0.000189,0.0003672,0.0048000002,0.0048000002,0.0048000002
1.53139177455201E+018,1.53139177444995E+018,0.0000162,0.0001896,0.0003522,0.0048000002,0.0048000002,0.0048000002
1.53139177455972E+018,1.53139177445595E+018,0.0000114,0.0001944,0.0003492,0.0048000002,0.0048000002,0.0048000002
1.53139177458511E+018,1.53139177446095E+018,0.0000114,0.0001944,0.0003492,0.0048000002,0.0048000002,0.0048000002
1.53139177462039E+018,1.53139177453895E+018,0.0000162,0.0001938,0.000351,0.0048000002,0.0048000002,0.0048000002
1.53139177464121E+018,1.53139177454495E+018,0.0000132,0.0001866,0.000351,0.0048000002,0.0048000002,0.0048000002
1.5313917746487E+018,1.53139177455095E+018,0.0000144,0.000192,0.0003546,0.0048000002,0.0048000002,0.0048000002
1.53139177465471E+018,1.53139177455595E+018,0.000015,0.0001896,0.000351,0.0048000002,0.0048000002,0.0048000002
1.53139177465966E+018,1.53139177456095E+018,0.000015,0.0001896,0.000351,0.0048000002,0.0048000002,0.0048000002
1.53139177466544E+018,1.53139177456695E+018,0.0000072,0.000183,0.0003546,0.0048000002,0.0048000002,0.0048000002
1.53139177467189E+018,1.53139177457195E+018,0.0000072,0.000183,0.0003546,0.0048000002,0.0048000002,0.0048000002
1.53139177469345E+018,1.53139177458095E+018,0.0000126,0.0001932,0.0003534,0.0048000002,0.0048000002,0.0048000002
1.53139177471419E+018,1.53139177467395E+018,0.0000156,0.000192,0.0003546,0.0048000002,0.0048000002,0.0048000002
1.53139177472143E+018,1.53139177467595E+018,0.0000162,0.0001926,0.0003606,0.0048000002,0.0048000002,0.0048000002
1.53139177472657E+018,1.53139177468195E+018,0.0000162,0.0001926,0.0003606,0.0048000002,0.0048000002,0.0048000002
1.53139177473174E+018,1.53139177468695E+018,0.0000126,0.0001902,0.00036,0.0048000002,0.0048000002,0.0048000002
1.53139177473668E+018,1.53139177469295E+018,0.0000126,0.0001902,0.00036,0.0048000002,0.0048000002,0.0048000002
1.53139177474174E+018,1.53139177469795E+018,0.0000126,0.000192,0.0003462,0.0048000002,0.0048000002,0.0048000002
1.53139177476158E+018,1.53139177470695E+018,0.0000126,0.000192,0.0003462,0.0048000002,0.0048000002,0.0048000002
1.53139177476646E+018,1.53139177470895E+018,0.000015,0.0001938,0.0003456,0.0048000002,0.0048000002,0.0048000002
