%time,field.data
1538332619740126903,403
1538332619853893689,405
1538332619978009537,403
1538332620064383357,405
1538332620181122569,406
1538332620272875539,403
1538332620414785194,403
1538332620529743392,405
1538332620632231156,405
1538332620738173298,401
1538332620837822112,401
1538332620966360975,401
1538332621066072449,402
1538332621156085872,403
1538332621258687667,404
1538332621379720288,402
1538332621468765512,403
1538332621582463267,405
1538332621688649282,401
1538332621788545952,405
1538332621889805341,403
1538332621979955745,403
1538332622101872265,399
1538332622185774626,405
1538332622306231542,401
1538332622395731681,402
1538332622501763384,403
1538332622629898344,403
1538332622724232470,400
1538332622820733877,403
1538332622924220761,404
1538332623020033693,403
1538332623124267568,404
1538332623252128964,403
1538332623364002797,403
1538332623464164797,403
1538332623567942898,403
1538332623672277796,403
1538332623772162366,403
1538332623862694429,403
1538332623970518815,404
1538332624093741399,401
1538332624212273160,403
1538332624320204593,402
1538332624409098886,403
1538332624512108590,421
1538332624622258142,403
1538332624724681323,404
1538332624809885901,403
1538332624928305221,406
1538332625032357348,401
1538332625152397994,407
1538332625248834766,401
1538332625348153173,403
1538332625456263655,401
1538332625553216524,407
1538332625652320167,400
1538332625784074186,409
1538332625904327239,404
1538332626016333409,404
1538332626140010922,404
1538332626229058897,402
1538332626336420200,407
1538332626432172300,407
1538332626532125361,403
1538332626628336711,402
1538332626736478674,402
1538332626837063527,407
1538332626940934268,403
1538332627032210703,404
1538332627147768589,402
1538332627267604039,400
1538332627355874362,525
1538332627457480806,403
1538332627552368032,442
1538332627649585194,403
1538332627754448478,409
1538332627868421619,405
1538332627986388181,404
1538332628080273310,403
1538332628187002211,410
1538332628268253975,403
1538332628380026256,407
1538332628484450001,488
1538332628580704846,454
1538332628684345261,402
1538332628785293745,404
1538332628881041628,403
1538332628988238915,403
1538332629092529894,401
1538332629192464463,402
1538332629304757103,402
1538332629412487273,403
1538332629533185064,482
1538332629648291759,408
1538332629748237964,402
1538332629857065292,401
1538332629948244575,405
1538332630054263786,407
1538332630150071060,403
1538332630273150612,474
1538332630392391669,404
1538332630488340688,407
1538332630584043904,404
1538332630695891363,407
1538332630794057291,403
1538332630900268485,403
1538332631040337100,404
1538332631128104979,403
1538332631236322664,475
1538332631332261729,408
1538332631432426051,403
1538332631536392877,405
1538332631632337135,400
1538332631740276515,404
1538332631840295040,406
1538332631940222837,405
1538332632060210553,404
1538332632159811652,402
1538332632273330613,406
1538332632388389081,448
1538332632496326860,400
1538332632608260826,405
1538332632716336786,403
1538332632820296614,403
1538332632932307159,404
1538332633048391693,401
1538332633156266263,401
1538332633270310472,402
1538332633354043411,400
1538332633456401068,403
1538332633564541054,405
1538332633664824574,403
1538332633756285372,404
1538332633860539551,402
1538332633972096197,403
1538332634076356362,402
1538332634184499948,403
1538332634280262343,413
1538332634380013072,406
1538332634488586234,409
1538332634608338618,404
1538332634708556241,400
1538332634796461528,402
1538332634908990699,408
1538332635000335177,408
1538332635132141348,405
1538332635244762481,404
1538332635360509554,403
1538332635460447551,403
1538332635564635383,400
1538332635701334767,404
1538332635816657779,489
1538332635916634388,401
1538332636016930787,404
1538332636125190972,403
1538332636233127378,407
1538332636336707872,403
1538332636442235926,417
1538332636565118520,401
1538332636680567376,404
1538332636772626267,402
1538332636880992288,403
1538332636975646324,405
1538332637080725727,413
1538332637196763839,406
1538332637312675208,404
1538332637428647816,444
1538332637544429232,405
1538332637628468677,485
1538332637748691739,403
1538332637840615691,400
1538332637956753674,401
1538332638072777222,404
1538332638193017528,446
1538332638287015506,451
1538332638396738520,405
1538332638491064389,403
1538332638592637867,402
1538332638688465557,401
1538332638800825254,420
1538332638900458386,406
1538332639021778554,401
1538332639120239339,404
1538332639224675361,405
1538332639336854645,396
1538332639434169080,402
1538332639536703960,406
1538332639640483433,405
1538332639748706863,406
1538332639842554709,405
1538332639956827340,404
1538332640053083832,403
1538332640157448733,503
1538332640248804006,403
1538332640348756747,499
1538332640468890235,405
1538332640560790126,407
1538332640664573628,403
1538332640768755221,401
1538332640861005091,404
1538332640963001974,424
1538332641060599588,404
1538332641168837935,404
1538332641273665291,407
1538332641420849475,404
1538332641540551240,391
1538332641644616322,402
1538332641740781629,405
1538332641832871682,405
1538332641948738645,418
1538332642060851753,407
1538332642160742300,402
1538332642284865887,404
1538332642408722224,405
1538332642514465352,403
1538332642600692994,404
1538332642708899194,406
1538332642813068279,485
1538332642924878911,404
1538332643041092194,404
1538332643136968855,427
1538332643248810083,401
1538332643340839929,406
1538332643452906048,404
1538332643552715056,403
1538332643652823180,405
1538332643760853016,390
1538332643868927162,405
1538332643972742846,397
1538332644100862178,404
1538332644214338873,407
1538332644317388649,399
1538332644424965291,404
1538332644525006034,401
1538332644636882936,522
1538332644757390300,399
1538332644868714617,406
1538332644968733036,404
1538332645076725313,404
1538332645203892357,404
1538332645312950453,403
1538332645408965066,401
1538332645508700844,405
1538332645621012513,403
1538332645750608806,402
1538332645838550039,408
1538332645936286549,405
1538332646040764856,404
1538332646136742766,406
1538332646249100108,409
1538332646360395024,467
1538332646458450296,405
1538332646577036982,406
1538332646685031109,405
1538332646785627591,405
1538332646878985257,460
1538332646992942695,402
1538332647085117232,404
1538332647185031324,403
1538332647301049315,404
1538332647417054284,463
1538332647502122220,402
1538332647609028420,403
1538332647714458835,404
1538332647809850894,402
1538332647928413311,427
1538332648016979959,403
1538332648121019581,406
1538332648216874483,404
1538332648324952545,404
1538332648413244889,406
1538332648517126453,402
1538332648625063523,403
1538332648721079356,407
1538332648852758530,402
1538332648932930043,403
1538332649044957646,409
